LU on CPU
N;povtoruvanja;vkupno vreme (s);prosecno vreme (s)
32;100000;0,959095;9,59095e-006
64;12587;0,80523;6,39732e-005
96;3800;0,743294;0,000195604
128;1661;0,743596;0,000447679
160;899;0,762984;0,000848703
192;562;0,812388;0,00144553
224;391;0,877996;0,00224551
256;295;1,00062;0,00339194
288;237;1,11098;0,0046877
320;200;1,2884;0,00644198
352;175;1,48174;0,00846709
384;157;1,72324;0,010976
416;145;2,01813;0,0139181
448;136;2,35322;0,0173031
480;129;2,75674;0,0213701
512;124;3,21587;0,0259344
544;120;3,69388;0,0307823
576;117;4,26356;0,0364407
608;114;4,8866;0,0428649
640;112;5,5385;0,0494509
672;110;6,42716;0,0584287
704;109;7,20113;0,0660654
736;108;8,14003;0,0753706
768;107;9,17975;0,085792
800;106;10,2882;0,0970586
832;105;11,4943;0,109469
864;105;12,9201;0,123048
896;104;14,3084;0,137581
928;104;15,9353;0,153224
960;103;17,5526;0,170413
992;103;19,5498;0,189804
1024;103;22,5361;0,218797
1056;102;23,5959;0,231333
1088;102;25,9553;0,254464
1120;102;28,5919;0,280313
1152;102;31,3861;0,307707
1184;102;35,4301;0,347354
1216;101;38,183;0,378049
1248;101;41,7688;0,413553
1280;101;44,7686;0,443253
1312;101;48,2553;0,477776
1344;101;52,683;0,521614
1376;101;56,6604;0,560994
1408;101;60,6964;0,600955
1440;101;65,9757;0,653225
1472;101;71,3063;0,706003
1504;101;77,0721;0,76309
1536;101;83,6937;0,82865
1568;100;89,1138;0,891138
1600;100;94,3935;0,943935
1632;100;100,165;1,00165
1664;100;107,685;1,07685
1696;100;114,411;1,14411
1728;100;120,98;1,2098
1760;100;129,992;1,29992
1792;100;137,192;1,37192
1824;100;144,521;1,44521
1856;100;154,402;1,54402
1888;100;165,22;1,6522
1920;100;170,554;1,70554
1952;100;181,074;1,81074
1984;100;190,442;1,90442
2016;100;199,335;1,99335
2048;100;213,466;2,13466
2080;100;220,749;2,20749
cuda LU on GPU
N;povtoruvanja;vkupno vreme (ms);prosecno vreme (ms)
32;100000;24185,7;0,241857
64;12587;5255,4;0,417526
96;3800;2741,59;0,721471
128;1661;1839,01;1,10717
160;899;1525,39;1,69676
192;562;1444,5;2,57029
224;391;1461,8;3,73862
256;295;1516,79;5,14167
288;237;1648,3;6,95486
320;200;1831,04;9,15521
352;175;2057,26;11,7558
384;157;2334,61;14,8702
416;145;2680,63;18,4871
448;136;3072,36;22,5909
480;129;3536,94;27,4182
512;124;4063,5;32,7702
544;120;4659,63;38,8302
576;117;5337,04;45,6157
608;114;6069,72;53,2431
640;112;6906,98;61,6694
672;110;7802,76;70,9342
704;109;8816,01;80,8808
736;108;9938,66;92,0246
768;107;11130,8;104,026
800;106;12434,5;117,307
832;105;13784;131,276
864;105;15362,6;146,31
896;104;16902,6;162,525
928;104;18727,2;180,069
960;103;20525,2;199,274
992;103;22541,8;218,852
1024;103;24761,1;240,399
1056;102;26809,7;262,84
1088;102;29275,6;287,016
1120;102;31903,1;312,775
1152;102;34616,1;339,374
1184;102;37525,6;367,898
1216;101;40149,9;397,524
1248;101;43326,8;428,978
1280;101;46715;462,525
1312;101;50185;496,881
1344;101;53931,5;533,976
1376;101;57774,7;572,027
1408;101;61761,6;611,501
1440;101;66078,6;654,244
1472;101;70440,7;697,432
1504;101;75121,2;743,774
1536;101;79880;790,891
1568;100;84115;841,15
1600;100;89340,3;893,403
1632;100;94657,1;946,571
1664;100;100184;1001,84
1696;100;106031;1060,31
1728;100;112051;1120,51
1760;100;118397;1183,97
1792;100;124724;1247,24
1824;100;131517;1315,17
1856;100;138422;1384,22
1888;100;145666;1456,66
1920;100;153227;1532,27
1952;100;160773;1607,73
1984;100;168700;1687
2016;100;177185;1771,85
2048;100;185177;1851,77
2080;100;194405;1944,05
